﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3e9HZxeyfWwjeyPAMmWSSQ","thank u, next","Ariana Grande","thank u, next","1","11","207320","spotify:user:12153926993","2019-04-26T22:56:23Z"
"spotify:track:5p7ujcrUXASCNwRaWNHR1C","Without Me","Halsey","Without Me","1","1","201660","spotify:user:12153926993","2019-04-26T22:57:00Z"
"spotify:track:2xLMifQCjDGFmkHkpNLD9h","SICKO MODE","Travis Scott","ASTROWORLD","1","3","312820","spotify:user:12153926993","2019-04-26T22:57:10Z"
"spotify:track:3KkXRkHbMCARz0aVfEt68P","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","1","2","158040","spotify:user:12153926993","2019-04-26T22:57:22Z"
"spotify:track:1rqqCSm0Qe4I9rUvWncaom","High Hopes","Panic! At The Disco","Pray For The Wicked","1","4","190946","spotify:user:12153926993","2019-04-26T22:57:31Z"
"spotify:track:2dpaYNEQHiRxtZbfNsse99","Happier","Marshmello, Bastille","Happier","1","1","214289","spotify:user:12153926993","2019-04-26T22:57:41Z"
"spotify:track:78QR3Wp35dqAhFEc2qAGjE","Drip Too Hard (Lil Baby & Gunna)","Lil Baby, Gunna","Drip Harder","1","12","145542","spotify:user:12153926993","2019-04-26T22:57:59Z"
"spotify:track:6OEHjJJvdkk1Ln0p0AZdyz","Girls Like You","Maroon 5","Red Pill Blues (Deluxe)","1","9","215229","spotify:user:12153926993","2019-04-26T22:58:14Z"
"spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z","ZEZE (feat. Travis Scott & Offset)","Kodak Black, Offset, Travis Scott","Dying To Live","1","5","228759","spotify:user:12153926993","2019-04-26T22:58:44Z"
"spotify:track:1xzBco0xcoJEDXktl7Jxrr","Mo Bamba","Sheck Wes","MUDBOY","1","9","183906","spotify:user:12153926993","2019-04-26T22:58:52Z"
"spotify:track:0QIjsbm2fh1cJ45XO9eGqq","Wake Up in the Sky","Gucci Mane, Bruno Mars, Kodak Black","Wake Up in the Sky","1","1","204664","spotify:user:12153926993","2019-04-26T22:59:00Z"
"spotify:track:2GGMabyHXnJmjY6CXhhB2e","Money","Cardi B","Money","1","1","183527","spotify:user:12153926993","2019-04-26T22:59:19Z"
"spotify:track:0d2iYfpKoM0QCKvcLCkBao","Eastside (with Halsey & Khalid)","benny blanco, Halsey, Khalid","Eastside (with Halsey & Khalid)","1","1","173799","spotify:user:12153926993","2019-04-26T22:59:30Z"
"spotify:track:4OafepJy2teCjYJbvFE60J","breathin","Ariana Grande","Sweetener","1","9","198160","spotify:user:12153926993","2019-04-26T22:59:39Z"
"spotify:track:7dt6x5M1jzdTEt8oCbisTK","Better Now","Post Malone","beerbongs & bentleys","1","9","231266","spotify:user:12153926993","2019-04-26T22:59:47Z"
"spotify:track:2iUXsYOEPhVqEBwsqP70rE","Youngblood","5 Seconds of Summer","Youngblood (Deluxe)","1","1","203417","spotify:user:12153926993","2019-04-26T22:59:55Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","Juice WRLD","Goodbye & Good Riddance","1","3","239835","spotify:user:12153926993","2019-04-26T23:00:05Z"
"spotify:track:4w8niZpiMy6qz1mntFA5uM","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","1","1","212500","spotify:user:12153926993","2019-04-26T23:00:16Z"
"spotify:track:116H0KvKr2Zl4RPuVBruDO","MIA (feat. Drake)","Bad Bunny, Drake","MIA (feat. Drake)","1","1","210367","spotify:user:12153926993","2019-04-26T23:00:22Z"
"spotify:track:14mHfNsSHN0FbLftyjrV9g","Leave Me Alone","Flipp Dinero","Leave Me Alone","1","1","195637","spotify:user:12153926993","2019-04-26T23:00:31Z"
"spotify:track:2IRZnDFmlqMuOrYOLnZZyc","Going Bad (feat. Drake)","Meek Mill, Drake","Championships","1","9","180522","spotify:user:12153926993","2019-04-26T23:00:40Z"
"spotify:track:2t8yVaLvJ0RenpXUIAC52d","a lot","21 Savage","i am > i was","1","1","288624","spotify:user:12153926993","2019-04-26T23:00:48Z"
"spotify:track:6CTWathupIiDs7U4InHnDA","Trip","Ella Mai","Ella Mai","1","13","213993","spotify:user:12153926993","2019-04-26T23:01:00Z"
"spotify:track:7q7jyVU0f0hnod8tsaUmxg","Speechless","Dan + Shay","Speechless","1","1","212745","spotify:user:12153926993","2019-04-26T23:01:13Z"
"spotify:track:2FY7b99s15jUprqC0M5NCT","Natural","Imagine Dragons","Origins (Deluxe)","1","1","189466","spotify:user:12153926993","2019-04-26T23:01:27Z"
