"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"0.717","0.653","1","-5.634","1","0.0658","0.229","0","0.101","0.412","106.966","audio_features","3e9HZxeyfWwjeyPAMmWSSQ","spotify:track:3e9HZxeyfWwjeyPAMmWSSQ","https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ","https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ","207320","4"
"0.752","0.488","6","-7.05","1","0.0705","0.297","0.00000911","0.0936","0.533","136.041","audio_features","5p7ujcrUXASCNwRaWNHR1C","spotify:track:5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C","201661","4"
"0.834","0.73","8","-3.714","1","0.222","0.00513","0","0.124","0.446","155.008","audio_features","2xLMifQCjDGFmkHkpNLD9h","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h","312820","4"
"0.76","0.479","2","-5.574","1","0.0466","0.556","0","0.0703","0.913","89.911","audio_features","3KkXRkHbMCARz0aVfEt68P","spotify:track:3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P","158040","4"
"0.579","0.904","5","-2.729","1","0.0618","0.193","0","0.064","0.681","82.014","audio_features","1rqqCSm0Qe4I9rUvWncaom","spotify:track:1rqqCSm0Qe4I9rUvWncaom","https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom","https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom","190947","4"
"0.687","0.792","5","-2.749","1","0.0452","0.191","0","0.167","0.671","100.015","audio_features","2dpaYNEQHiRxtZbfNsse99","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99","214290","4"
"0.896","0.671","1","-6.977","0","0.289","0.103","0","0.552","0.358","112.502","audio_features","78QR3Wp35dqAhFEc2qAGjE","spotify:track:78QR3Wp35dqAhFEc2qAGjE","https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE","https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE","145543","4"
"0.611","0.462","0","-7.054","1","0.0646","0.558","0.00000101","0.131","0.377","59.635","audio_features","6OEHjJJvdkk1Ln0p0AZdyz","spotify:track:6OEHjJJvdkk1Ln0p0AZdyz","https://api.spotify.com/v1/tracks/6OEHjJJvdkk1Ln0p0AZdyz","https://api.spotify.com/v1/audio-analysis/6OEHjJJvdkk1Ln0p0AZdyz","215230","4"
"0.861","0.603","8","-5.788","0","0.176","0.0521","0","0.0924","0.504","98.043","audio_features","0FZ4Dmg8jJJAPJnvBIzD9z","spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z","https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z","https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z","228760","4"
"0.729","0.625","4","-5.266","1","0.0315","0.194","0.00986","0.248","0.261","146.034","audio_features","1xzBco0xcoJEDXktl7Jxrr","spotify:track:1xzBco0xcoJEDXktl7Jxrr","https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr","https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr","183907","4"
